benchmark,cpu_time,number_of_decisions,status,wall_time
j2032_8,3.20s,7956091,OPTIMAL,3.30s
j2032_9,5.38s,6628593,OPTIMAL,5.65s
j2033_1,40.86s,1445462,OPTIMAL,41.23s
j2033_10,39.85s,1239114,OPTIMAL,40.18s
j2033_2,34.26s,3148323,OPTIMAL,34.81s
j2033_3,60.56s,955080,SATISFIABLE,61.05s
j2033_4,38.73s,2227603,OPTIMAL,39.14s
j2033_5,35.79s,1304079,OPTIMAL,36.04s
j2033_6,60.11s,1545961,SATISFIABLE,60.55s
j2033_7,60.52s,4805469,SATISFIABLE,60.89s
j2033_8,45.41s,1783592,OPTIMAL,45.90s
j2033_9,5.09s,1582299,OPTIMAL,5.20s
j2034_1,32.44s,10456889,OPTIMAL,32.76s
j2034_10,18.80s,2581248,OPTIMAL,18.96s
j2034_2,60.63s,2645944,SATISFIABLE,61.06s
j2034_3,42.22s,2161049,OPTIMAL,42.52s
j2034_4,48.29s,2258928,OPTIMAL,48.62s
j2034_5,60.14s,1966255,SATISFIABLE,60.57s
j2034_6,58.93s,2867423,OPTIMAL,59.48s
j2034_7,41.64s,1994938,OPTIMAL,41.89s
j2034_8,7.47s,2726250,OPTIMAL,7.62s
j2034_9,24.67s,1959913,OPTIMAL,24.89s
j2035_1,14.73s,2810750,OPTIMAL,14.89s
j2035_10,10.99s,4998497,OPTIMAL,11.29s
j2035_2,29.96s,3770708,OPTIMAL,30.21s
j2035_3,6.81s,3206928,OPTIMAL,6.91s
j2035_4,10.45s,4884764,OPTIMAL,10.56s
j2035_5,4.30s,2638298,OPTIMAL,4.39s
j2035_6,10.75s,4419560,OPTIMAL,11.34s
j2035_7,41.91s,3497315,OPTIMAL,42.18s
j2035_8,22.81s,3814241,OPTIMAL,23.38s
j2035_9,38.86s,12416988,OPTIMAL,39.20s
j2037_1,60.05s,1576582,SATISFIABLE,60.48s
j2037_10,59.68s,2856047,SATISFIABLE,60.15s
j2037_2,59.34s,4486295,SATISFIABLE,60.40s
j2037_3,60.02s,1853524,SATISFIABLE,60.43s
j2037_4,59.85s,14685781,SATISFIABLE,60.36s
j2037_5,60.17s,3752084,SATISFIABLE,60.57s
j2037_6,45.45s,9391103,OPTIMAL,45.72s
j2037_7,59.87s,1468912,SATISFIABLE,60.27s
j2037_8,60.07s,4345766,SATISFIABLE,60.81s
j2037_9,60.61s,8745842,SATISFIABLE,61.02s
j2038_1,60.13s,8094369,SATISFIABLE,60.52s
j2038_10,59.32s,19731696,SATISFIABLE,60.46s
j2038_2,60.24s,5382795,SATISFIABLE,60.68s
j2038_3,37.78s,7978927,OPTIMAL,38.05s
j2038_4,60.05s,6707020,SATISFIABLE,60.40s
j2038_5,14.68s,6301406,OPTIMAL,14.89s
j2038_6,60.52s,6728577,SATISFIABLE,61.14s
j2038_7,59.93s,15426875,SATISFIABLE,60.26s
j2038_8,33.23s,5430571,OPTIMAL,33.50s
j2038_9,45.63s,5861678,OPTIMAL,46.16s
j2039_1,59.58s,6549743,SATISFIABLE,60.18s
j2039_10,20.13s,11125928,OPTIMAL,20.30s
j2039_2,43.28s,7530173,OPTIMAL,44.62s
j2039_3,39.13s,13593047,OPTIMAL,39.43s
j2039_4,30.89s,9037661,OPTIMAL,31.15s
j2039_5,59.79s,61898105,SATISFIABLE,60.22s
j2039_6,13.16s,5909165,OPTIMAL,13.31s
j2039_7,47.71s,10128559,OPTIMAL,48.05s
j2039_8,14.24s,8683402,OPTIMAL,14.42s
j2039_9,60.09s,8310811,SATISFIABLE,60.61s
j203_2,1.74s,1868684,OPTIMAL,1.87s
j203_5,2.96s,4283359,OPTIMAL,3.14s
j2040_1,59.94s,14214372,OPTIMAL,60.36s
j2040_10,9.20s,8432374,OPTIMAL,9.34s
j2040_2,59.84s,9218656,SATISFIABLE,60.21s
j2040_3,26.47s,50306219,OPTIMAL,26.72s
j2040_4,60.41s,22577513,SATISFIABLE,60.84s
j2040_5,9.15s,9718673,OPTIMAL,9.36s
j2040_6,60.19s,89181810,SATISFIABLE,60.58s
j2040_7,60.24s,13145824,SATISFIABLE,60.65s
j2040_8,59.96s,10400796,SATISFIABLE,60.50s
j2040_9,43.15s,8231688,OPTIMAL,43.51s
j2041_1,1.94s,955866,OPTIMAL,2.77s
j2041_10,47.43s,1518013,OPTIMAL,47.69s
j2041_2,46.20s,1224909,OPTIMAL,46.70s
j2041_3,29.78s,1405688,OPTIMAL,30.05s
j2041_4,5.39s,1410535,OPTIMAL,5.47s
j2041_5,4.41s,1417804,OPTIMAL,4.84s
j2041_6,4.18s,1769024,OPTIMAL,4.29s
j2041_7,4.05s,1611986,OPTIMAL,4.18s
j2041_8,30.47s,1489113,OPTIMAL,30.84s
j2041_9,20.70s,1239869,OPTIMAL,20.91s
j2042_1,13.72s,3278471,OPTIMAL,13.88s
j2042_10,29.92s,1913620,OPTIMAL,30.31s
j2042_2,10.50s,2442719,OPTIMAL,10.64s
j2042_3,5.85s,3079887,OPTIMAL,5.96s
j2042_4,7.22s,2185561,OPTIMAL,7.32s
j2042_5,8.88s,1708145,OPTIMAL,9.02s
j2042_6,13.71s,2182648,OPTIMAL,13.88s
j2042_7,5.51s,2111743,OPTIMAL,5.64s
j2042_8,6.39s,3025113,OPTIMAL,6.57s
