benchmark,cpu_time,number_of_decisions,status,wall_time
j2034_2,9.25s,455871,OPTIMAL,9.96s
j2034_3,1.32s,274645,OPTIMAL,1.72s
j2034_4,2.94s,335933,OPTIMAL,3.07s
j2034_5,5.34s,436652,OPTIMAL,5.75s
j2034_6,2.17s,278831,OPTIMAL,2.24s
j2034_7,3.07s,167734,OPTIMAL,3.19s
j2034_8,1.71s,585242,OPTIMAL,1.79s
j2034_9,2.52s,321554,OPTIMAL,2.60s
j2035_1,2.80s,393972,OPTIMAL,2.88s
j2035_10,1.69s,283988,OPTIMAL,1.84s
j2035_2,7.45s,241111,OPTIMAL,7.58s
j2035_3,2.02s,254457,OPTIMAL,2.11s
j2035_4,5.79s,504019,OPTIMAL,5.96s
j2035_5,1.61s,505215,OPTIMAL,1.92s
j2035_6,2.51s,263684,OPTIMAL,2.61s
j2035_7,2.38s,189053,OPTIMAL,2.45s
j2035_8,2.02s,301422,OPTIMAL,3.17s
j2035_9,3.34s,445173,OPTIMAL,3.44s
j2037_1,20.38s,354036,SATISFIABLE,20.57s
j2037_10,20.27s,794796,SATISFIABLE,20.43s
j2037_2,20.54s,401478,SATISFIABLE,20.78s
j2037_3,19.76s,276878,SATISFIABLE,20.35s
j2037_4,20.02s,563289,SATISFIABLE,20.16s
j2037_5,20.78s,569208,SATISFIABLE,21.02s
j2037_6,11.93s,560581,OPTIMAL,12.07s
j2037_7,20.77s,669975,SATISFIABLE,20.95s
j2037_8,20.77s,527626,SATISFIABLE,20.98s
j2037_9,20.84s,471366,SATISFIABLE,21.15s
j2038_1,13.30s,624096,OPTIMAL,13.45s
j2038_10,14.00s,465275,OPTIMAL,14.17s
j2038_2,20.61s,383361,SATISFIABLE,21.11s
j2038_3,4.88s,469169,OPTIMAL,5.35s
j2038_4,20.22s,606439,SATISFIABLE,20.45s
j2038_5,5.31s,363238,OPTIMAL,7.48s
j2038_6,9.16s,431371,OPTIMAL,9.26s
j2038_7,11.40s,450165,OPTIMAL,11.57s
j2038_8,4.18s,238938,OPTIMAL,4.34s
j2038_9,7.98s,470896,OPTIMAL,8.09s
j2039_1,6.34s,379712,OPTIMAL,6.55s
j2039_10,3.53s,358941,OPTIMAL,3.70s
j2039_2,4.99s,320698,OPTIMAL,5.12s
j2039_3,4.98s,527224,OPTIMAL,5.40s
j2039_4,5.08s,194139,OPTIMAL,5.30s
j2039_5,3.50s,185495,OPTIMAL,3.59s
j2039_6,4.85s,527292,OPTIMAL,5.10s
j2039_7,4.99s,292065,OPTIMAL,5.23s
j2039_8,5.65s,350172,OPTIMAL,7.91s
j2039_9,17.03s,405807,OPTIMAL,17.61s
j203_2,796.39ms,232418,OPTIMAL,826.48ms
j203_5,588.68ms,42594,OPTIMAL,723.45ms
j2040_1,9.30s,375721,OPTIMAL,9.90s
j2040_10,3.27s,527117,OPTIMAL,3.47s
j2040_2,6.92s,348403,OPTIMAL,7.40s
j2040_3,5.06s,454612,OPTIMAL,5.17s
j2040_4,8.67s,303205,OPTIMAL,8.79s
j2040_5,4.39s,327778,OPTIMAL,4.54s
j2040_6,10.88s,629358,OPTIMAL,11.05s
j2040_7,9.81s,269602,OPTIMAL,10.01s
j2040_8,4.53s,343273,OPTIMAL,4.81s
j2040_9,4.87s,187785,OPTIMAL,5.03s
j2041_1,1.03s,297280,OPTIMAL,1.12s
j2041_10,2.21s,144990,OPTIMAL,3.40s
j2041_2,8.27s,286699,OPTIMAL,8.64s
j2041_3,3.58s,457772,OPTIMAL,3.90s
j2041_4,2.45s,390161,OPTIMAL,2.54s
j2041_5,725.54ms,151501,OPTIMAL,848.11ms
j2041_6,911.06ms,201512,OPTIMAL,1.03s
j2041_7,1.30s,298597,OPTIMAL,1.80s
j2041_8,18.87s,584303,OPTIMAL,19.04s
j2041_9,2.17s,236249,OPTIMAL,2.43s
j2042_1,1.85s,373960,OPTIMAL,2.10s
j2042_10,1.96s,330305,OPTIMAL,2.09s
j2042_2,1.38s,222484,OPTIMAL,1.48s
j2042_3,1.19s,289709,OPTIMAL,2.25s
j2042_4,1.22s,189025,OPTIMAL,1.34s
j2042_5,2.05s,306889,OPTIMAL,2.12s
j2042_6,1.05s,259803,OPTIMAL,1.11s
j2042_7,1.76s,302413,OPTIMAL,2.03s
j2042_8,1.94s,652881,OPTIMAL,2.33s
j2042_9,824.75ms,217158,OPTIMAL,893.23ms
j2043_1,981.27ms,233318,OPTIMAL,1.38s
j2043_10,1.13s,331697,OPTIMAL,1.25s
j2043_2,1.07s,221956,OPTIMAL,1.14s
j2043_3,1.14s,361158,OPTIMAL,1.22s
j2043_4,1.29s,199871,OPTIMAL,1.39s
j2043_5,1.60s,390353,OPTIMAL,1.78s
j2043_6,1.32s,219064,OPTIMAL,1.42s
j2043_7,1.76s,306393,OPTIMAL,1.87s
j2043_8,1.12s,364188,OPTIMAL,1.25s
j2043_9,1.52s,237447,OPTIMAL,1.59s
j2044_1,1.74s,462552,OPTIMAL,1.88s
j2044_10,731.21ms,235500,OPTIMAL,913.39ms
j2044_2,1.33s,270138,OPTIMAL,1.65s
j2044_3,2.00s,384591,OPTIMAL,2.44s
j2044_4,1.71s,453440,OPTIMAL,1.79s
j2044_5,1.08s,280617,OPTIMAL,1.20s
j2044_6,1.92s,318059,OPTIMAL,2.03s
j2044_7,1.47s,217280,OPTIMAL,1.54s
j2044_8,1.52s,594641,OPTIMAL,1.78s
j2044_9,1.04s,249450,OPTIMAL,1.13s
j2045_1,20.64s,853675,SATISFIABLE,20.83s
j2045_10,19.96s,379204,SATISFIABLE,20.59s
j2045_2,20.71s,460783,SATISFIABLE,20.85s
j2045_3,20.41s,540678,SATISFIABLE,20.61s
j2045_4,20.01s,515849,SATISFIABLE,20.63s
j2045_5,20.46s,516761,SATISFIABLE,20.65s
j2045_6,4.95s,315626,OPTIMAL,5.53s
j2045_7,20.19s,444392,SATISFIABLE,20.37s
j2045_8,20.55s,576092,SATISFIABLE,20.71s
j2045_9,20.91s,292185,SATISFIABLE,21.06s
j2046_1,5.47s,298142,OPTIMAL,5.60s
j2046_10,3.82s,643470,OPTIMAL,3.89s
j2046_2,1.63s,253296,OPTIMAL,2.97s
j2046_3,17.94s,604295,OPTIMAL,18.09s
j2046_4,6.99s,336850,OPTIMAL,7.14s
j2046_5,2.88s,354604,OPTIMAL,3.02s
j2046_6,6.98s,327958,OPTIMAL,7.20s
j2046_7,8.44s,412901,OPTIMAL,8.76s
j2046_8,3.66s,329640,OPTIMAL,3.82s
j2046_9,3.59s,367668,OPTIMAL,3.70s
j2047_1,4.90s,210243,OPTIMAL,4.98s
j2047_10,7.91s,288914,OPTIMAL,8.11s
j2047_2,3.20s,400900,OPTIMAL,3.50s
j2047_3,2.33s,240431,OPTIMAL,2.41s
j2047_4,2.47s,331241,OPTIMAL,2.55s
j2047_5,2.16s,243439,OPTIMAL,2.59s
j2047_6,2.68s,336602,OPTIMAL,2.77s
j2047_7,3.18s,390645,OPTIMAL,4.35s
j2047_8,2.59s,391497,OPTIMAL,3.34s
j2047_9,1.82s,175705,OPTIMAL,1.93s
j2048_1,2.48s,411223,OPTIMAL,3.37s
j2048_10,2.96s,404764,OPTIMAL,3.07s
j2048_2,2.36s,390692,OPTIMAL,2.52s
j2048_3,2.28s,157257,OPTIMAL,2.48s
j2048_4,3.62s,441325,OPTIMAL,3.77s
j2048_5,2.49s,405379,OPTIMAL,2.58s
j2048_6,3.63s,462207,OPTIMAL,5.93s
j2048_7,3.13s,345966,OPTIMAL,3.43s
j2048_8,1.75s,258649,OPTIMAL,1.91s
j2048_9,1.94s,225160,OPTIMAL,2.13s
j2049_1,1.18s,333182,OPTIMAL,1.25s
j2049_10,1.02s,330915,OPTIMAL,1.10s
j2049_2,1.50s,584784,OPTIMAL,1.59s
j2049_3,1.18s,232082,OPTIMAL,1.32s
j2049_4,996.82ms,369483,OPTIMAL,1.15s
j2049_5,951.79ms,302693,OPTIMAL,1.21s
j2049_6,905.84ms,302662,OPTIMAL,982.01ms
j2049_7,659.37ms,172234,OPTIMAL,824.17ms
j2049_8,1.09s,175500,OPTIMAL,1.58s
j2049_9,1.52s,464520,OPTIMAL,2.08s
j2050_1,993.95ms,399010,OPTIMAL,1.14s
j2050_10,715.80ms,200520,OPTIMAL,781.12ms
j2050_2,1.04s,333356,OPTIMAL,1.12s
j2050_3,668.33ms,195583,OPTIMAL,787.02ms
j2050_4,724.94ms,295073,OPTIMAL,798.08ms
j2050_5,439.44ms,82999,OPTIMAL,498.27ms
j2050_6,802.33ms,293413,OPTIMAL,930.04ms
j2050_7,1.41s,582654,OPTIMAL,2.08s
