benchmark,cpu_time,number_of_decisions,status,wall_time
J5028_5,296.44s,1155561026,OPTIMAL,299.64s
J5029_1,10.99s,29352217,OPTIMAL,12.65s
J5029_2,7.70s,7496222,OPTIMAL,8.39s
J5029_3,11.45s,45373056,OPTIMAL,13.00s
J5029_4,9.40s,26519637,OPTIMAL,10.11s
J5029_5,10.92s,32097442,OPTIMAL,12.00s
J502_1,598.70s,512522268,SATISFIABLE,602.55s
J502_2,599.47s,291109226,SATISFIABLE,603.17s
J502_3,597.99s,685421937,SATISFIABLE,603.14s
J502_4,596.48s,647979098,SATISFIABLE,604.02s
J502_5,600.50s,610004413,SATISFIABLE,603.26s
J5030_1,14.48s,44293650,OPTIMAL,15.73s
J5030_2,47.24s,213635891,OPTIMAL,49.72s
J5030_3,14.44s,50115449,OPTIMAL,16.48s
J5030_4,17.65s,74829793,OPTIMAL,18.23s
J5030_5,27.97s,84178405,OPTIMAL,29.85s
J5037_1,596.13s,377240171,UNKNOWN,600.44s
J5037_2,597.98s,357306344,UNKNOWN,600.89s
J5037_3,597.27s,696053959,UNKNOWN,600.28s
J5037_4,597.61s,392623819,UNKNOWN,600.30s
J5037_5,596.91s,459710207,UNKNOWN,600.85s
J5038_1,599.13s,354829555,SATISFIABLE,602.30s
J5038_2,597.95s,306563794,SATISFIABLE,603.07s
J5038_3,598.63s,233672802,SATISFIABLE,603.04s
J5038_4,598.36s,508020896,SATISFIABLE,602.46s
J5038_5,599.60s,447116728,SATISFIABLE,603.32s
J5039_1,67.97s,16894287,OPTIMAL,68.73s
J5039_2,37.69s,131743494,OPTIMAL,38.94s
J5039_3,23.75s,22538840,OPTIMAL,24.48s
J5039_4,17.52s,13588817,OPTIMAL,18.27s
J5039_5,19.35s,17065356,OPTIMAL,20.25s
J503_1,24.87s,43723474,OPTIMAL,26.62s
J503_2,17.49s,37913185,OPTIMAL,19.15s
J503_3,86.28s,338614403,OPTIMAL,87.28s
J503_4,30.63s,152816088,OPTIMAL,31.25s
J503_5,398.29s,45097063,OPTIMAL,400.13s
J5040_1,598.96s,375168257,SATISFIABLE,602.57s
J5040_2,598.50s,146182171,SATISFIABLE,602.45s
J5040_3,596.76s,251948907,SATISFIABLE,602.81s
J5040_4,599.90s,450047393,SATISFIABLE,602.90s
J5040_5,239.38s,490050977,OPTIMAL,241.71s
J5041_1,10.47s,17535753,OPTIMAL,11.27s
J5041_2,16.66s,29680905,OPTIMAL,19.30s
J5041_3,13.14s,29757626,OPTIMAL,15.09s
J5041_4,6.52s,3873038,OPTIMAL,8.16s
J5041_5,8.68s,11178316,OPTIMAL,18.78s
J5042_1,19.45s,16243367,OPTIMAL,20.25s
J5042_2,32.19s,29904215,OPTIMAL,32.89s
J5042_3,419.78s,23542450,OPTIMAL,424.05s
J5042_4,42.61s,22120348,OPTIMAL,43.48s
J5042_5,50.71s,16093266,OPTIMAL,51.53s
J5043_1,597.32s,731905763,UNKNOWN,600.19s
J5043_2,597.54s,848171943,UNKNOWN,600.48s
J5043_3,596.41s,756123281,UNKNOWN,600.16s
J5043_4,597.88s,1247983863,UNKNOWN,600.72s
J5043_5,593.22s,805825012,UNKNOWN,600.52s
J5044_1,594.85s,1028609158,UNKNOWN,600.81s
J5044_2,595.29s,1368988720,UNKNOWN,600.03s
J5044_3,597.55s,1049781940,UNKNOWN,601.00s
J5044_4,597.50s,1220651388,UNKNOWN,600.47s
J5044_5,594.59s,1580760324,UNKNOWN,600.11s
J5045_1,,,SATISFIABLE,
J5045_2,599.68s,75545942,SATISFIABLE,603.97s
J5045_3,598.76s,49962806,SATISFIABLE,602.71s
J5045_4,599.26s,52109416,SATISFIABLE,602.77s
J5045_5,600.05s,721171722,SATISFIABLE,603.19s
J5046_1,599.53s,432726338,SATISFIABLE,603.29s
J5046_2,588.58s,953964817,UNKNOWN,600.79s
J5046_3,600.23s,1244129111,SATISFIABLE,603.20s
J5046_4,600.63s,416230249,SATISFIABLE,604.18s
J5046_5,599.40s,1838896172,SATISFIABLE,603.21s
J5047_1,596.25s,41978473,UNKNOWN,600.61s
J5047_2,597.38s,37079990,UNKNOWN,600.40s
J5047_3,597.33s,31374798,UNKNOWN,600.85s
J5047_4,600.10s,50241549,SATISFIABLE,603.06s
